currentPropSelf,currentAngleBias,currentExpectLevel,phase,block
0.4,0,high,test,1
0.4,0,low,test,1
0.4,90,high,test,1
0.4,90,low,test,1
0.4,0,high,test,1
0.4,0,low,test,1
0.4,90,high,test,1
0.4,90,low,test,1
0.4,0,high,test,2
0.4,0,low,test,2
0.4,90,high,test,2
0.4,90,low,test,2
0.4,0,high,test,2
0.4,0,low,test,2
0.4,90,high,test,2
0.4,90,low,test,2
0.4,0,high,test,3
0.4,0,low,test,3
0.4,90,high,test,3
0.4,90,low,test,3
0.4,0,high,test,3
0.4,0,low,test,3
0.4,90,high,test,3
0.4,90,low,test,3
0.4,0,high,test,4
0.4,0,low,test,4
0.4,90,high,test,4
0.4,90,low,test,4
0.4,0,high,test,4
0.4,0,low,test,4
0.4,90,high,test,4
0.4,90,low,test,4
